kickoff_utc,status,minute,league,country,season,home_team,away_team,home_score,away_score,venue,source,source_match_id,fetched_at
2026-09-03 18:45:00+00:00,TIMED,,Ligue 1,France,2026/27,Toulouse,Lille,,,,football-data.org,559696,2026-09-02T22:37:58+00:00
2026-09-03 18:45:00+00:00,NS,,Scottish Premiership,Scotland,2026/27,Hibernian,Heart of Midlothian,,,Easter Road,API-Football,1556655,2026-09-02T22:37:55+00:00
2026-09-03 18:45:00+00:00,NS,,Ligue 1,France,2026/27,Toulouse,Lille,,,Stadium de Toulouse,API-Football,1552754,2026-09-02T22:37:55+00:00
2026-09-03 19:00:00+00:00,NS,,La Liga,Spain,2026/27,Real Sociedad,Celta Vigo,,,Anoeta,API-Football,1570392,2026-09-02T22:37:55+00:00
2026-09-04 17:30:00+00:00,NS,,Betway Premiership,South Africa,2026/27,Marumo Gallants,Polokwane City,,,Dr. Petrus Molemela Stadium,TheSportsDB,2545612,2026-09-02T22:38:02+00:00
2026-09-04 18:00:00+00:00,NS,,Eredivisie,Netherlands,2026/27,Sparta Rotterdam,Zwolle,,,Spartastadion,TheSportsDB,2489100,2026-09-02T22:38:02+00:00
2026-09-04 18:30:00+00:00,NS,,Bundesliga,Germany,2026/27,VfB Stuttgart,1. FC Koln,,,MHP Arena,TheSportsDB,2508347,2026-09-02T22:38:02+00:00
2026-09-04 18:45:00+00:00,NS,,Serie A,Italy,2026/27,Genoa,Como,,,Stadio Luigi Ferraris,TheSportsDB,2482160,2026-09-02T22:38:02+00:00
2026-09-04 19:00:00+00:00,NS,,Premier League,England,2026/27,Ipswich Town,Liverpool,,,Portman Road,TheSportsDB,2494027,2026-09-02T22:38:02+00:00
2026-09-04 19:15:00+00:00,NS,,Liga Portugal,Portugal,2026/27,FC Porto,Moreirense,,,Estádio do Dragão,TheSportsDB,2513970,2026-09-02T22:38:02+00:00
2026-09-05 11:30:00+00:00,NS,,League One,England,2026/27,Wigan Athletic,Stockport County,,,The Brick Community Stadium,TheSportsDB,2500748,2026-09-02T22:38:02+00:00
2026-09-05 11:30:00+00:00,TIMED,,Championship,England,2026/27,Lincoln City,Southampton,,,,football-data.org,561820,2026-09-02T22:37:58+00:00
2026-09-05 11:30:00+00:00,TIMED,,Championship,England,2026/27,Stoke City,Charlton Athletic,,,,football-data.org,561815,2026-09-02T22:37:58+00:00
2026-09-05 11:30:00+00:00,TIMED,,Premier League,England,2026/27,Newcastle United,Bournemouth,,,,football-data.org,560571,2026-09-02T22:37:58+00:00
2026-09-05 11:30:00+00:00,TIMED,,Championship,England,2026/27,Preston North End,Blackburn Rovers,,,,football-data.org,561813,2026-09-02T22:37:58+00:00
2026-09-05 13:00:00+00:00,TIMED,,Serie A,Italy,2026/27,Fiorentina,Torino,,,,football-data.org,558616,2026-09-02T22:37:58+00:00
2026-09-05 13:30:00+00:00,SCHEDULED,,Bundesliga,Germany,2026/27,1899 Hoffenheim,Borussia Dortmund,,,,football-data.org,565787,2026-09-02T22:37:58+00:00
2026-09-05 13:30:00+00:00,SCHEDULED,,Bundesliga,Germany,2026/27,Paderborn,SC Freiburg,,,,football-data.org,565793,2026-09-02T22:37:58+00:00
2026-09-05 13:30:00+00:00,SCHEDULED,,Bundesliga,Germany,2026/27,Borussia Monchengladbach,Elversberg,,,,football-data.org,565792,2026-09-02T22:37:58+00:00
2026-09-05 13:30:00+00:00,SCHEDULED,,Bundesliga,Germany,2026/27,Werder Bremen,RB Leipzig,,,,football-data.org,565785,2026-09-02T22:37:58+00:00
2026-09-05 13:30:00+00:00,SCHEDULED,,Bundesliga,Germany,2026/27,Bayer Leverkusen,Union Berlin,,,,football-data.org,565790,2026-09-02T22:37:58+00:00
2026-09-05 14:00:00+00:00,TIMED,,Championship,England,2026/27,Millwall,Bolton Wanderers,,,,football-data.org,561818,2026-09-02T22:37:58+00:00
