date,season,league,country,home_team,away_team,home_score,away_score,outcome,odds_home,odds_draw,odds_away,source
2025-10-31,2025/26,Betway Premiership,South Africa,Siwelele,Sekhukhune United,1,0,1,,,,globalsportsarchive
2025-11-22,2025/26,Betway Premiership,South Africa,AmaZulu,Siwelele,2,0,1,,,,globalsportsarchive
2025-11-22,2025/26,Betway Premiership,South Africa,Kruger United,Casric Stars,3,2,1,,,,globalsportsarchive
2025-11-25,2025/26,Betway Premiership,South Africa,Orlando Pirates,Chippa United,2,0,1,,,,globalsportsarchive
2025-11-28,2025/26,Betway Premiership,South Africa,Richards Bay,AmaZulu,2,0,1,,,,globalsportsarchive
2025-12-06,2025/26,Betway Premiership,South Africa,Orlando Pirates,Marumo Gallants,1,0,1,,,,globalsportsarchive
2025-12-06,2025/26,Betway Premiership,South Africa,The Bees,Kruger United,3,1,1,,,,globalsportsarchive
2026-01-21,2025/26,Betway Premiership,South Africa,TS Galaxy,Marumo Gallants,2,0,1,,,,globalsportsarchive
2026-01-25,2025/26,Betway Premiership,South Africa,AmaZulu,TS Galaxy,3,2,1,,,,globalsportsarchive
2026-01-25,2025/26,Betway Premiership,South Africa,Durban City,Polokwane City,1,0,1,,,,globalsportsarchive
2026-01-28,2025/26,Betway Premiership,South Africa,Kruger United,Hungry Lions,1,0,1,,,,globalsportsarchive
2026-01-31,2025/26,Betway Premiership,South Africa,Chippa United,Durban City,2,0,1,,,,globalsportsarchive
2026-02-01,2025/26,Betway Premiership,South Africa,Kaizer Chiefs,ZESCO United,1,0,1,,,,globalsportsarchive
2026-02-04,2025/26,Betway Premiership,South Africa,Stellenbosch,Kaizer Chiefs,2,1,1,,,,globalsportsarchive
2026-02-06,2025/26,Betway Premiership,South Africa,Durban City,Chippa United,0,0,2,,,,globalsportsarchive
2026-02-08,2025/26,Betway Premiership,South Africa,AS Otohô,Stellenbosch,3,0,1,,,,globalsportsarchive
2026-02-08,2025/26,Betway Premiership,South Africa,Golden Arrows,Orbit College,3,0,1,,,,globalsportsarchive
2026-02-08,2025/26,Betway Premiership,South Africa,Kaizer Chiefs,El Masry,2,1,1,,,,globalsportsarchive
2026-02-08,2025/26,Betway Premiership,South Africa,TS Galaxy,Marumo Gallants,1,0,1,,,,globalsportsarchive
2026-02-13,2025/26,Betway Premiership,South Africa,Durban City,TS Galaxy,2,0,1,,,,globalsportsarchive
2026-02-14,2025/26,Betway Premiership,South Africa,Chippa United,Richards Bay,3,0,1,,,,globalsportsarchive
2026-02-14,2025/26,Betway Premiership,South Africa,Kruger United,Upington City,2,1,1,,,,globalsportsarchive
2026-02-14,2025/26,Betway Premiership,South Africa,Orlando Pirates,Marumo Gallants,3,0,1,,,,globalsportsarchive
2026-02-14,2025/26,Betway Premiership,South Africa,Zamalek,Kaizer Chiefs,2,1,1,,,,globalsportsarchive
2026-02-15,2025/26,Betway Premiership,South Africa,Milford,Highbury,1,0,1,,,,globalsportsarchive
2026-02-15,2025/26,Betway Premiership,South Africa,Sekhukhune United,Orbit College,2,0,1,,,,globalsportsarchive
2026-02-21,2025/26,Betway Premiership,South Africa,Golden Arrows,Stellenbosch,1,0,1,,,,globalsportsarchive
2026-02-21,2025/26,Betway Premiership,South Africa,TS Galaxy,Mamelodi Sundowns,2,0,1,,,,globalsportsarchive
2026-02-22,2025/26,Betway Premiership,South Africa,Milford,Mkhambathi,3,0,1,,,,globalsportsarchive
2026-02-27,2025/26,Betway Premiership,South Africa,Kruger United,Venda,3,1,1,,,,globalsportsarchive
2026-02-27,2025/26,Betway Premiership,South Africa,Stellenbosch,AmaZulu,1,0,1,,,,globalsportsarchive
2026-02-28,2025/26,Betway Premiership,South Africa,Siwelele,TS Galaxy,1,0,1,,,,globalsportsarchive
2026-03-01,2025/26,Betway Premiership,South Africa,Mamelodi Sundowns,Sekhukhune United,3,1,1,,,,globalsportsarchive
2026-03-03,2025/26,Betway Premiership,South Africa,Richards Bay,Kaizer Chiefs,1,0,1,,,,globalsportsarchive
2026-03-04,2025/26,Betway Premiership,South Africa,Mamelodi Sundowns,Golden Arrows,2,1,1,,,,globalsportsarchive
2026-03-08,2025/26,Betway Premiership,South Africa,TS Galaxy,Jacksa Spears,2,0,1,,,,globalsportsarchive
2026-03-11,2025/26,Betway Premiership,South Africa,Orlando Pirates,Richards Bay,2,0,1,,,,globalsportsarchive
2026-03-13,2025/26,Betway Premiership,South Africa,Mamelodi Sundowns,Stade Malien de Bamako,3,0,1,,,,globalsportsarchive
2026-03-14,2025/26,Betway Premiership,South Africa,AmaZulu,Richards Bay,2,1,1,,,,globalsportsarchive
2026-03-14,2025/26,Betway Premiership,South Africa,Kruger United,Milford,1,0,1,,,,globalsportsarchive
2026-03-15,2025/26,Betway Premiership,South Africa,Kaizer Chiefs,Durban City,1,0,1,,,,globalsportsarchive
